Trial,Person_1,Valence,Intensity,Favourite,Person_2,Valence,Intensity,Favourite,Person_3,Valence,Intensity,Favourite,Person_4,Valence,Intensity,Favourite,Person_5,Valence,Intensity,Favourite,Person_6,Valence,Intensity,Favourite,Person_7,Valence,Intensity,Favourite,Person_8,Valence,Intensity,Favourite,Person_9,Valence,Intensity,Favourite,Person_10,Valence,Intensity,Favourite,Person_11,Valence,Intensity,Favourite,Person_12,Valence,Intensity,Favourite,Person_13,Valence,Intensity,Favourite,Person_14,Valence,Intensity,Favourite,Person_15,Valence,Intensity,Favourite,Person_16,Valence,Intensity,Favourite,Person_17,Valence,Intensity,Favourite,Person_18,Valence,Intensity,Favourite,Person_19,Valence,Intensity,Favourite,Person_20,Valence,Intensity,Favourite
41,902,6,5,6,200,2,6,7,712,5,1,5,692,5,7,5,869,4,4,4,981,3,3,2,981,1,5,1,597,4,5,4,869,4,1,4,585,5,6,5,759,4,1,3,633,6,5,4,981,5,6,5,200,6,7,5,759,3,2,1,200,3,6,3,759,4,2,3,633,1,7,1,759,4,2,4,981,6,6,4
42,759,4,1,4,633,4,4,5,585,2,6,1,869,4,1,4,633,2,5,3,558,4,3,3,692,1,7,1,712,4,1,4,598,3,6,2,633,4,5,4,558,1,6,2,712,7,2,1,200,5,7,7,712,5,1,1,902,4,4,3,633,2,7,2,692,4,6,4,712,4,1,4,585,6,4,4,562,1,1,1
43,733,6,5,5,558,7,1,6,712,5,1,5,692,3,7,3,869,4,4,4,733,3,2,1,869,4,2,4,633,4,5,4,200,4,5,3,712,4,4,4,598,3,5,3,692,6,4,4,869,3,3,3,598,3,7,1,558,3,4,2,562,6,4,4,902,4,3,4,200,1,7,1,238,2,2,1,598,6,5,5
44,692,6,6,6,562,6,4,6,981,3,6,1,598,6,6,6,597,3,5,4,238,2,1,1,598,1,7,1,597,4,4,4,712,4,1,4,585,5,6,6,238,5,2,5,633,6,3,3,598,7,7,5,200,5,5,4,238,4,2,2,200,4,6,4,562,4,2,3,733,1,7,1,902,5,6,6,597,6,7,6
45,869,4,1,4,633,4,4,5,200,3,6,1,562,4,1,4,598,2,5,3,585,4,3,3,692,1,7,1,238,7,1,4,598,2,6,2,981,5,6,6,585,2,5,3,712,7,1,1,597,4,4,5,562,6,1,4,598,4,3,1,981,6,7,2,692,4,2,5,238,4,1,4,200,3,6,1,759,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
